config,batch_id,send_time,start_time,end_time,calc_time,latency
dask,42,1783882192.28664,1783882192.3096995,1783882229.7219193,37.412,37.435
dask,43,1783882192.2866561,1783882192.3100564,1783882229.415201,37.105,37.129
dask,44,1783882192.2866728,1783882192.31045,1783882232.8856647,40.575,40.599
dask,45,1783882192.286689,1783882192.3108146,1783882229.6684647,37.358,37.382
dask,46,1783882192.2867048,1783882192.3111944,1783882232.6828582,40.372,40.396
dask,47,1783882192.286721,1783882192.3115785,1783882232.079138,39.768,39.792
dask,48,1783882192.286737,1783882192.3119392,1783882235.9106555,43.599,43.624
dask,49,1783882192.2867532,1783882192.3123298,1783882233.1388767,40.827,40.852
dask,50,1783882192.2867696,1783882192.3126988,1783882235.7515166,43.439,43.465
dask,51,1783882192.2867856,1783882192.313057,1783882237.1665506,44.853,44.88
dask,52,1783882192.2868013,1783882192.3134453,1783882235.8540866,43.541,43.567
dask,53,1783882192.2868178,1783882192.3138018,1783882239.7857533,47.472,47.499
dask,54,1783882192.2868366,1783882192.3141837,1783882238.725821,46.412,46.439
dask,55,1783882192.2868567,1783882192.3145692,1783882238.0206509,45.706,45.734
dask,56,1783882192.2868743,1783882192.3149273,1783882242.7571316,50.442,50.47
dask,57,1783882192.2868934,1783882192.3153305,1783882240.489991,48.175,48.203
dask,58,1783882192.2869136,1783882192.3157146,1783882243.8646822,51.549,51.578
dask,59,1783882192.2869308,1783882192.3160818,1783882241.393683,49.078,49.107
dask,60,1783882192.286947,1783882192.3165183,1783882245.4728882,53.156,53.186
dask,61,1783882192.2869632,1783882192.3168807,1783882243.1606293,50.844,50.874
dask,62,1783882192.2869802,1783882192.3172631,1783882246.9852297,54.668,54.698
dask,63,1783882192.2869983,1783882192.3176389,1783882245.0687337,52.751,52.782
dask,64,1783882192.2870152,1783882192.3180058,1783882249.5948913,57.277,57.308
dask,65,1783882192.287033,1783882192.3183951,1783882246.7789347,54.461,54.492
dask,66,1783882192.2870498,1783882192.3187597,1783882250.2559958,57.937,57.969
dask,67,1783882192.2870657,1783882192.3191133,1783882248.390443,56.071,56.103
dask,68,1783882192.2870817,1783882192.3194969,1783882250.762219,58.443,58.475
dask,69,1783882192.287098,1783882192.3198555,1783882250.6598108,58.34,58.373
dask,70,1783882192.2871165,1783882192.3202283,1783882255.287209,62.967,63.0
dask,71,1783882192.287133,1783882192.320617,1783882252.818606,60.498,60.531
dask,72,1783882192.2871637,1783882192.3209789,1783882254.481626,62.161,62.194
dask,73,1783882192.287183,1783882192.3213568,1783882253.8235655,61.502,61.536
dask,74,1783882192.2872472,1783882192.321717,1783882256.3942847,64.073,64.107
dask,75,1783882192.2872689,1783882192.3220649,1783882255.3396087,63.018,63.052
dask,76,1783882192.287286,1783882192.3224573,1783882258.6281269,66.306,66.341
dask,77,1783882192.2873034,1783882192.3228164,1783882258.5257835,66.203,66.238
dask,78,1783882192.2873204,1783882192.3231802,1783882258.2225304,65.899,65.935
dask,79,1783882192.2873461,1783882192.3235633,1783882260.5845635,68.261,68.297
dask,80,1783882192.2873726,1783882192.3239517,1783882260.9379385,68.614,68.651
dask,81,1783882192.287391,1783882192.324321,1783882261.4421248,69.118,69.155
dask,82,1783882192.2874107,1783882192.3246942,1783882261.545236,69.221,69.258
dask,83,1783882192.287445,1783882192.3250377,1783882263.684424,71.359,71.397
dask,84,1783882192.2874706,1783882192.3254426,1783882265.545897,73.22,73.258
