engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
dask,4,0,0,1.987,32.4,57.6
dask,4,1,1,1.371,60.0,57.6
dask,4,2,2,1.527,50.0,57.4
dask,4,3,3,1.201,50.0,57.4
dask,4,4,4,1.428,40.0,57.4
dask,4,5,5,1.498,40.0,57.4
dask,4,6,6,1.639,60.0,57.4
dask,4,7,7,1.248,50.0,57.4
dask,4,8,8,1.58,60.0,57.5
dask,4,9,9,1.37,50.0,57.4
dask,4,10,10,1.411,40.0,57.4
dask,4,11,11,1.342,50.0,57.5
dask,4,12,12,1.347,40.0,57.5
dask,4,13,13,1.384,50.0,57.5
dask,4,14,14,1.923,60.0,57.5
dask,4,15,15,1.628,50.0,57.5
dask,4,16,16,1.368,50.0,57.5
dask,4,17,17,1.39,50.0,57.5
dask,4,18,18,1.404,50.0,57.5
dask,4,19,19,1.362,50.0,57.5
