engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
spark,2,0,0,3.126,71.9,68.1
spark,2,1,1,2.703,80.0,68.1
spark,2,2,2,1.654,75.0,68.2
spark,2,3,3,1.32,50.0,68.2
spark,2,4,4,1.68,50.0,68.2
spark,2,5,5,1.353,50.0,68.2
spark,2,6,6,1.337,50.0,68.3
spark,2,7,7,1.465,50.0,68.7
spark,2,8,8,1.47,50.0,68.7
spark,2,9,9,1.493,80.0,68.7
spark,2,10,10,1.297,50.0,68.7
spark,2,11,11,1.537,50.0,68.7
spark,2,12,12,1.493,50.0,68.7
spark,2,13,13,1.419,66.7,68.7
spark,2,14,14,1.502,50.0,68.7
spark,2,15,15,1.311,80.0,68.6
spark,2,16,16,1.554,50.0,68.6
spark,2,17,17,1.241,40.0,68.9
spark,2,18,18,1.486,50.0,68.9
spark,2,19,19,1.476,50.0,68.9
