engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
spark,1,0,0,3.915,73.4,67.4
spark,1,1,1,2.613,100.0,67.0
spark,1,2,2,1.511,75.0,67.1
spark,1,3,3,1.33,80.0,67.3
spark,1,4,4,1.549,60.0,67.3
spark,1,5,5,1.342,50.0,67.4
spark,1,6,6,1.563,50.0,67.4
spark,1,7,7,1.547,60.0,67.6
spark,1,8,8,1.473,66.7,67.6
spark,1,9,9,1.48,50.0,67.7
spark,1,10,10,1.473,60.0,67.7
spark,1,11,11,1.624,50.0,67.7
spark,1,12,12,1.552,50.0,67.7
spark,1,13,13,1.517,80.0,67.8
spark,1,14,14,1.503,50.0,67.8
spark,1,15,15,1.42,80.0,67.9
spark,1,16,16,1.394,75.0,67.9
spark,1,17,17,1.337,50.0,67.9
spark,1,18,18,1.315,50.0,67.9
spark,1,19,19,1.777,50.0,67.9
