engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
baseline,4,0,0,1.861,14.6,58.4
baseline,4,1,1,1.238,60.0,58.4
baseline,4,2,2,1.178,50.0,58.8
baseline,4,3,3,1.177,50.0,58.8
baseline,4,4,4,1.197,50.0,58.7
baseline,4,5,5,1.15,50.0,59.0
baseline,4,6,6,1.402,60.0,59.2
baseline,4,7,7,1.244,50.0,59.5
baseline,4,8,8,1.202,50.0,59.5
baseline,4,9,9,1.167,40.0,59.1
baseline,4,10,10,1.183,50.0,58.5
baseline,4,11,11,1.212,50.0,57.3
baseline,4,12,12,1.178,60.0,57.8
baseline,4,13,13,1.22,60.0,58.0
baseline,4,14,14,1.17,50.0,58.0
baseline,4,15,15,1.216,50.0,58.0
baseline,4,16,16,1.41,50.0,58.2
baseline,4,17,17,1.236,50.0,58.2
baseline,4,18,18,1.77,50.0,58.0
baseline,4,19,19,2.414,50.0,57.9
