engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
dask,1,0,0,1.545,25.5,58.3
dask,1,1,1,1.841,83.3,58.3
dask,1,2,2,1.604,50.0,58.0
dask,1,3,3,1.319,50.0,57.7
dask,1,4,4,1.85,60.0,57.4
dask,1,5,5,1.463,50.0,57.4
dask,1,6,6,1.801,60.0,57.4
dask,1,7,7,1.483,50.0,57.4
dask,1,8,8,1.327,50.0,57.5
dask,1,9,9,1.661,50.0,57.5
dask,1,10,10,1.437,60.0,57.5
dask,1,11,11,1.349,50.0,57.5
dask,1,12,12,1.314,66.7,57.5
dask,1,13,13,1.296,50.0,57.5
dask,1,14,14,1.325,50.0,57.5
dask,1,15,15,1.306,50.0,57.6
dask,1,16,16,1.925,40.0,57.6
dask,1,17,17,1.665,60.0,57.6
dask,1,18,18,1.675,50.0,57.6
dask,1,19,19,1.796,50.0,57.6
