engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
dask,2,0,0,1.569,31.9,57.6
dask,2,1,1,1.372,50.0,57.6
dask,2,2,2,1.352,60.0,57.4
dask,2,3,3,1.406,50.0,57.2
dask,2,4,4,1.352,50.0,57.2
dask,2,5,5,1.637,50.0,57.2
dask,2,6,6,1.476,50.0,57.2
dask,2,7,7,1.52,50.0,57.2
dask,2,8,8,1.441,50.0,57.2
dask,2,9,9,1.583,60.0,57.2
dask,2,10,10,1.645,66.7,57.2
dask,2,11,11,1.327,50.0,57.2
dask,2,12,12,1.394,50.0,57.2
dask,2,13,13,1.353,50.0,57.2
dask,2,14,14,1.472,50.0,57.2
dask,2,15,15,1.364,50.0,57.2
dask,2,16,16,1.364,50.0,57.2
dask,2,17,17,1.45,50.0,57.2
dask,2,18,18,1.387,50.0,57.2
dask,2,19,19,1.615,50.0,57.2
