engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
baseline,1,0,0,3.065,11.7,56.5
baseline,1,1,1,1.231,60.0,56.5
baseline,1,2,2,1.255,50.0,55.9
baseline,1,3,3,1.188,50.0,57.8
baseline,1,4,4,1.25,50.0,58.0
baseline,1,5,5,1.277,80.0,58.0
baseline,1,6,6,1.153,50.0,59.1
baseline,1,7,7,1.19,50.0,59.1
baseline,1,8,8,1.396,50.0,58.8
baseline,1,9,9,1.265,60.0,58.6
baseline,1,10,10,1.207,50.0,58.6
baseline,1,11,11,1.175,50.0,58.2
baseline,1,12,12,2.13,50.0,58.1
baseline,1,13,13,1.282,50.0,58.1
baseline,1,14,14,1.241,50.0,58.1
baseline,1,15,15,1.242,60.0,58.1
baseline,1,16,16,1.262,40.0,58.1
baseline,1,17,17,1.354,50.0,59.0
baseline,1,18,18,1.78,40.0,59.3
baseline,1,19,19,1.475,50.0,59.8
