engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
baseline,2,0,0,1.334,20.5,59.0
baseline,2,1,1,1.246,50.0,59.0
baseline,2,2,2,1.195,50.0,58.0
baseline,2,3,3,1.188,50.0,59.3
baseline,2,4,4,1.232,50.0,59.3
baseline,2,5,5,1.196,50.0,58.0
baseline,2,6,6,1.232,40.0,58.4
baseline,2,7,7,1.286,50.0,58.5
baseline,2,8,8,1.183,50.0,58.5
baseline,2,9,9,1.277,40.0,58.6
baseline,2,10,10,1.222,50.0,58.6
baseline,2,11,11,1.219,50.0,58.4
baseline,2,12,12,1.254,50.0,58.4
baseline,2,13,13,1.23,60.0,57.9
baseline,2,14,14,1.192,42.9,58.2
baseline,2,15,15,1.206,42.9,58.3
baseline,2,16,16,1.215,60.0,58.3
baseline,2,17,17,1.232,50.0,58.0
baseline,2,18,18,1.339,60.0,59.1
baseline,2,19,19,1.183,40.0,59.1
