engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
spark,3,0,0,2.921,82.0,67.5
spark,3,1,1,2.947,83.3,67.6
spark,3,2,2,1.421,40.0,67.6
spark,3,3,3,1.589,100.0,67.6
spark,3,4,4,1.467,60.0,67.6
spark,3,5,5,1.584,50.0,67.6
spark,3,6,6,1.439,100.0,67.7
spark,3,7,7,1.582,50.0,67.7
spark,3,8,8,1.495,50.0,67.8
spark,3,9,9,1.39,57.1,67.8
spark,3,10,10,1.285,50.0,67.9
spark,3,11,11,1.484,50.0,67.9
spark,3,12,12,1.313,50.0,68.0
spark,3,13,13,1.334,60.0,68.0
spark,3,14,14,1.456,50.0,68.0
spark,3,15,15,1.376,60.0,68.1
spark,3,16,16,1.356,50.0,68.1
spark,3,17,17,1.313,60.0,68.1
spark,3,18,18,1.392,50.0,68.1
spark,3,19,19,1.548,50.0,68.1
