engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
baseline,5,0,0,2.208,17.9,58.0
baseline,5,1,1,1.766,57.1,58.6
baseline,5,2,2,1.224,60.0,58.9
baseline,5,3,3,1.453,40.0,58.8
baseline,5,4,4,1.396,50.0,57.9
baseline,5,5,5,1.403,50.0,57.9
baseline,5,6,6,1.45,50.0,57.9
baseline,5,7,7,1.407,50.0,57.9
baseline,5,8,8,1.26,50.0,58.0
baseline,5,9,9,1.286,50.0,58.0
baseline,5,10,10,1.227,60.0,58.2
baseline,5,11,11,1.501,50.0,59.2
baseline,5,12,12,1.385,50.0,59.5
baseline,5,13,13,1.55,50.0,59.5
baseline,5,14,14,1.269,60.0,59.4
baseline,5,15,15,1.353,50.0,59.3
baseline,5,16,16,1.227,50.0,59.0
baseline,5,17,17,1.17,60.0,59.0
baseline,5,18,18,1.226,60.0,58.4
baseline,5,19,19,1.648,60.0,59.1
