engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
dask,5,0,0,1.506,27.5,58.1
dask,5,1,1,1.409,60.0,58.1
dask,5,2,2,1.316,50.0,57.2
dask,5,3,3,1.266,50.0,57.2
dask,5,4,4,2.007,50.0,57.2
dask,5,5,5,1.157,40.0,57.2
dask,5,6,6,1.529,50.0,57.2
dask,5,7,7,1.275,50.0,57.2
dask,5,8,8,1.294,50.0,57.2
dask,5,9,9,1.334,50.0,57.2
dask,5,10,10,1.332,60.0,57.2
dask,5,11,11,1.396,60.0,57.2
dask,5,12,12,1.455,50.0,57.2
dask,5,13,13,1.477,40.0,57.2
dask,5,14,14,1.483,50.0,57.2
dask,5,15,15,1.315,50.0,57.2
dask,5,16,16,1.324,60.0,57.2
dask,5,17,17,1.795,50.0,57.2
dask,5,18,18,1.592,60.0,57.2
dask,5,19,19,1.917,60.0,57.2
